s,a,r,sp
106,17,0,110
22,6,0,35
39,9,0,41
13,2,100,16
13,2,0,18
35,7,0,29
35,7,0,29
58,16,0,110
0,1,0,11
18,4,0,33
18,4,0,31
14,3,-100,17
28,8,0,39
48,16,0,110
21,6,0,36
98,16,0,110
68,16,0,110
58,16,0,110
36,7,0,27
48,16,0,110
22,6,0,36
33,5,0,20
33,5,0,21
34,7,0,30
37,9,0,48
13,2,0,18
74,13,0,87
96,15,0,107
39,9,0,48
30,8,0,37
78,16,0,110
37,9,0,47
36,7,0,27
94,15,0,104
22,6,0,36
13,2,-100,17
78,16,0,110
20,6,0,35
44,11,0,54
78,16,0,110
18,4,0,33
15,4,0,33
27,8,0,38
35,7,0,30
21,6,0,36
101,17,0,110
33,5,0,23
103,17,0,110
30,8,0,37
29,8,0,37
21,6,0,36
13,2,0,18
100,17,0,110
70,13,0,86
46,14,0,54
38,9,0,40
84,14,0,92
88,16,0,110
17,4,0,31
34,7,0,28
17,4,0,31
46,10,0,58
16,4,0,33
21,6,0,36
104,17,0,110
14,3,100,16
31,5,0,23
38,9,0,44
34,7,0,28
28,8,0,37
37,9,0,46
48,16,0,110
29,8,0,39
98,16,0,110
98,16,0,110
61,13,0,72
23,6,0,34
80,14,0,94
98,16,0,110
48,16,0,110
27,8,0,39
28,8,0,39
106,17,0,110
30,8,0,38
12,3,100,16
86,14,0,92
100,17,0,110
36,7,0,29
28,8,0,37
18,4,0,33
43,11,0,57
68,16,0,110
48,16,0,110
19,6,0,35
10,2,0,15
98,16,0,110
108,16,0,110
14,3,100,16
55,12,0,62
29,8,0,38
22,6,0,36
98,16,0,110
98,16,0,110
28,8,0,39
37,9,0,46
33,5,0,22
16,4,0,33
30,8,0,38
44,13,0,53
34,7,0,28
35,7,0,30
22,6,0,36
27,8,0,38
108,16,0,110
29,8,0,37
39,9,0,42
52,11,0,60
48,16,0,110
83,14,0,90
38,9,0,44
16,4,0,33
21,6,0,36
29,8,0,37
98,16,0,110
29,8,0,37
0,1,0,10
88,16,0,110
108,16,0,110
52,11,0,68
35,7,0,29
46,10,0,57
108,16,0,110
28,8,0,37
20,6,0,36
72,14,0,87
48,16,0,110
86,14,0,91
68,16,0,110
94,15,0,101
29,8,0,38
31,5,0,23
35,7,0,30
23,6,0,35
88,16,0,110
72,13,0,88
88,16,0,110
10,2,0,15
68,16,0,110
54,13,0,65
21,6,0,36
18,4,0,33
14,3,100,16
14,3,-100,17
78,16,0,110
19,6,0,34
30,8,0,38
98,16,0,110
28,8,0,37
33,5,0,20
34,7,0,29
21,6,0,34
28,8,0,37
22,6,0,36
23,6,0,36
54,14,0,63
96,15,0,100
36,7,0,30
12,3,100,16
108,16,0,110
15,4,0,33
12,3,0,18
20,6,0,34
22,6,0,35
27,8,0,37
70,14,0,80
60,13,0,71
27,8,0,38
12,3,0,18
38,9,0,46
73,14,0,85
19,6,0,34
88,16,0,110
48,16,0,110
98,16,0,110
20,6,0,34
19,6,0,34
28,8,0,37
33,5,0,22
16,4,0,31
88,16,0,110
29,8,0,38
36,7,0,29
55,11,0,62
30,8,0,37
36,7,0,30
18,4,0,33
50,13,0,63
35,7,0,30
88,16,0,110
20,6,0,34
76,14,0,88
12,3,-100,17
43,14,0,51
35,7,0,27
13,2,-100,17
14,3,-100,17
18,4,0,33
18,4,0,33
31,5,0,19
15,4,0,31
38,9,0,46
64,12,0,70
108,16,0,110
41,14,0,55
11,2,0,18
28,8,0,39
71,13,0,87
78,16,0,110
15,4,0,33
66,13,0,74
22,6,0,36
75,13,0,82
16,4,0,33
64,13,0,73
27,8,0,38
78,16,0,110
14,3,100,16
38,9,0,40
15,4,0,33
12,3,0,18
10,2,0,18
12,3,100,16
38,9,0,42
21,6,0,34
88,16,0,110
20,6,0,35
12,3,-100,17
88,16,0,110
39,9,0,47
39,9,0,48
78,16,0,110
23,6,0,35
29,8,0,38
17,4,0,33
13,2,100,16
12,3,0,18
68,16,0,110
35,7,0,30
21,6,0,34
91,15,0,100
46,11,0,55
76,14,0,87
34,7,0,29
103,17,0,110
31,5,0,23
12,3,0,18
38,9,0,44
106,17,0,110
65,12,0,76
35,7,0,28
48,16,0,110
36,7,0,30
20,6,0,35
16,4,0,33
28,8,0,39
39,9,0,41
68,16,0,110
10,2,100,16
18,4,0,33
11,2,100,16
15,4,0,31
0,1,0,10
22,6,0,34
40,11,0,54
11,2,-100,17
33,5,0,22
15,4,0,31
41,11,0,58
17,4,0,31
92,15,0,104
38,9,0,40
36,7,0,30
22,6,0,34
60,13,0,72
23,6,0,34
62,14,0,70
60,14,0,72
55,12,0,61
11,2,0,15
55,12,0,64
31,5,0,23
63,13,0,71
10,2,0,15
80,14,0,93
27,8,0,38
14,3,100,16
20,6,0,35
44,14,0,53
12,3,-100,17
21,6,0,35
56,13,0,68
22,6,0,36
27,8,0,38
68,16,0,110
29,8,0,38
19,6,0,34
28,8,0,39
66,14,0,77
35,7,0,30
31,5,0,23
15,4,0,33
15,4,0,31
50,11,0,61
0,1,0,11
34,7,0,27
108,16,0,110
48,16,0,110
10,2,0,15
21,6,0,35
39,9,0,43
60,14,0,75
58,16,0,110
33,5,0,20
34,7,0,27
108,16,0,110
33,5,0,20
30,8,0,39
88,16,0,110
27,8,0,38
76,13,0,85
34,7,0,27
78,16,0,110
34,7,0,30
20,6,0,35
19,6,0,36
74,13,0,87
52,13,0,64
15,4,0,31
91,15,0,108
17,4,0,33
15,4,0,31
55,11,0,68
19,6,0,35
13,2,100,16
30,8,0,39
58,16,0,110
14,3,0,18
58,16,0,110
14,3,-100,17
19,6,0,35
108,16,0,110
23,6,0,36
33,5,0,21
19,6,0,35
38,9,0,43
17,4,0,31
0,1,0,12
16,4,0,33
43,11,0,58
29,8,0,37
33,5,0,22
39,9,0,41
0,1,0,12
28,8,0,38
13,2,0,18
11,2,0,18
17,4,0,31
42,13,0,56
11,2,0,15
28,8,0,39
102,17,0,110
39,9,0,48
88,16,0,110
56,13,0,68
43,12,0,50
17,4,0,31
35,7,0,28
15,4,0,33
56,12,0,61
10,2,-100,17
27,8,0,38
30,8,0,37
28,8,0,39
71,13,0,88
27,8,0,38
14,3,-100,17
29,8,0,37
58,16,0,110
39,9,0,45
14,3,0,18
80,14,0,90
27,8,0,38
18,4,0,33
29,8,0,38
0,1,0,11
28,8,0,38
30,8,0,39
31,5,0,23
14,3,-100,17
21,6,0,34
52,13,0,62
11,2,0,15
13,2,-100,17
101,17,0,110
11,2,-100,17
38,9,0,40
78,16,0,110
16,4,0,33
34,7,0,28
23,6,0,34
34,7,0,28
14,3,0,18
38,9,0,40
35,7,0,29
14,3,0,18
11,2,100,16
14,3,-100,17
12,3,0,18
28,8,0,39
16,4,0,33
48,16,0,110
84,14,0,96
23,6,0,36
36,7,0,27
15,4,0,31
44,14,0,55
56,14,0,66
12,3,100,16
29,8,0,38
34,7,0,28
88,16,0,110
48,16,0,110
104,17,0,110
64,13,0,78
76,14,0,80
82,14,0,93
22,6,0,36
38,9,0,40
63,13,0,73
56,13,0,68
39,9,0,47
53,11,0,64
22,6,0,36
58,16,0,110
15,4,0,31
68,16,0,110
33,5,0,19
11,2,-100,17
108,16,0,110
19,6,0,35
13,2,100,16
58,16,0,110
37,9,0,47
38,9,0,47
39,9,0,47
27,8,0,38
17,4,0,31
55,13,0,66
20,6,0,35
88,16,0,110
58,16,0,110
94,15,0,107
102,17,0,110
88,16,0,110
20,6,0,35
37,9,0,46
39,9,0,43
73,13,0,83
37,9,0,41
30,8,0,38
58,16,0,110
19,6,0,34
108,16,0,110
36,7,0,27
102,17,0,110
36,7,0,27
64,12,0,72
75,14,0,85
39,9,0,46
22,6,0,35
38,9,0,42
27,8,0,38
78,16,0,110
13,2,0,18
10,2,0,15
36,7,0,30
14,3,0,18
46,10,0,58
80,14,0,95
37,9,0,47
58,16,0,110
60,12,0,77
88,16,0,110
10,2,0,15
83,14,0,90
16,4,0,31
104,17,0,110
27,8,0,38
20,6,0,36
20,6,0,35
102,17,0,110
21,6,0,34
108,16,0,110
104,17,0,110
48,16,0,110
30,8,0,39
36,7,0,27
92,15,0,100
34,7,0,28
34,7,0,29
13,2,0,18
37,9,0,40
23,6,0,36
108,16,0,110
11,2,0,15
31,5,0,20
108,16,0,110
15,4,0,31
13,2,0,18
37,9,0,46
64,13,0,70
71,13,0,86
19,6,0,35
15,4,0,33
44,10,0,52
0,1,0,10
14,3,0,15
23,6,0,34
29,8,0,38
94,15,0,107
30,8,0,39
34,7,0,28
81,14,0,90
43,14,0,56
88,16,0,110
100,17,0,110
10,2,0,15
35,7,0,28
11,2,0,15
27,8,0,38
18,4,0,33
17,4,0,31
35,7,0,30
16,4,0,33
34,7,0,28
62,14,0,72
31,5,0,21
76,14,0,88
18,4,0,33
55,14,0,61
108,16,0,110
20,6,0,34
33,5,0,22
78,16,0,110
37,9,0,41
21,6,0,36
0,1,0,10
34,7,0,28
36,7,0,30
65,14,0,71
34,7,0,28
98,16,0,110
22,6,0,36
22,6,0,36
16,4,0,33
48,16,0,110
48,16,0,110
33,5,0,22
31,5,0,21
13,2,-100,17
23,6,0,34
85,14,0,95
33,5,0,21
27,8,0,38
38,9,0,42
35,7,0,30
29,8,0,37
13,2,-100,17
23,6,0,35
23,6,0,35
15,4,0,31
86,14,0,93
12,3,100,16
38,9,0,47
11,2,0,15
14,3,-100,17
19,6,0,34
98,16,0,110
88,16,0,110
88,16,0,110
61,13,0,70
48,16,0,110
37,9,0,41
13,2,0,18
28,8,0,39
33,5,0,22
68,16,0,110
98,16,0,110
17,4,0,31
91,15,0,100
19,6,0,35
30,8,0,37
13,2,100,16
12,3,100,16
54,13,0,66
21,6,0,35
14,3,0,15
34,7,0,27
39,9,0,48
105,17,0,110
27,8,0,38
28,8,0,37
44,11,0,51
18,4,0,33
78,16,0,110
31,5,0,21
38,9,0,40
31,5,0,21
58,16,0,110
29,8,0,37
17,4,0,31
28,8,0,39
18,4,0,31
13,2,-100,17
21,6,0,35
66,14,0,74
35,7,0,30
15,4,0,31
38,9,0,47
31,5,0,19
98,16,0,110
22,6,0,35
58,16,0,110
98,16,0,110
13,2,-100,17
13,2,100,16
68,16,0,110
30,8,0,38
15,4,0,31
31,5,0,23
39,9,0,43
88,16,0,110
0,1,0,14
15,4,0,31
34,7,0,28
20,6,0,36
15,4,0,31
76,13,0,86
31,5,0,21
17,4,0,31
72,13,0,82
17,4,0,31
83,14,0,90
68,16,0,110
35,7,0,30
38,9,0,45
36,7,0,30
88,16,0,110
30,8,0,38
86,14,0,92
23,6,0,36
37,9,0,48
20,6,0,34
15,4,0,33
14,3,100,16
27,8,0,37
35,7,0,29
11,2,-100,17
27,8,0,38
11,2,100,16
17,4,0,31
101,17,0,110
15,4,0,31
90,15,0,100
10,2,0,18
81,14,0,94
48,16,0,110
0,1,0,12
13,2,0,18
27,8,0,38
27,8,0,39
35,7,0,30
96,15,0,101
40,11,0,51
19,6,0,35
11,2,0,18
78,16,0,110
33,5,0,19
17,4,0,31
38,9,0,41
31,5,0,20
38,9,0,40
54,14,0,67
102,17,0,110
38,9,0,42
12,3,0,18
11,2,-100,17
28,8,0,38
31,5,0,23
19,6,0,35
68,16,0,110
15,4,0,31
37,9,0,47
43,10,0,54
82,14,0,91
98,16,0,110
98,16,0,110
36,7,0,27
18,4,0,33
22,6,0,36
108,16,0,110
38,9,0,46
27,8,0,38
12,3,0,18
43,14,0,50
22,6,0,34
10,2,-100,17
36,7,0,27
28,8,0,38
98,16,0,110
82,14,0,98
16,4,0,33
10,2,0,15
51,12,0,63
13,2,0,18
98,16,0,110
10,2,0,15
14,3,100,16
36,7,0,30
12,3,0,15
58,16,0,110
34,7,0,28
23,6,0,36
17,4,0,31
34,7,0,28
82,14,0,97
19,6,0,35
98,16,0,110
53,12,0,68
48,16,0,110
102,17,0,110
14,3,-100,17
22,6,0,35
17,4,0,31
38,9,0,46
68,16,0,110
100,17,0,110
70,14,0,86
48,16,0,110
88,16,0,110
31,5,0,19
21,6,0,35
13,2,-100,17
21,6,0,34
29,8,0,37
108,16,0,110
20,6,0,35
28,8,0,39
88,16,0,110
10,2,-100,17
51,13,0,66
98,16,0,110
12,3,0,18
39,9,0,48
14,3,-100,17
98,16,0,110
68,16,0,110
14,3,0,15
100,17,0,110
34,7,0,28
68,16,0,110
40,11,0,51
27,8,0,38
0,1,0,12
18,4,0,33
37,9,0,46
19,6,0,34
16,4,0,33
48,16,0,110
35,7,0,29
63,12,0,74
100,17,0,110
48,16,0,110
12,3,100,16
48,16,0,110
15,4,0,33
73,14,0,80
66,14,0,70
22,6,0,36
38,9,0,45
37,9,0,41
18,4,0,33
40,12,0,53
88,16,0,110
94,15,0,101
37,9,0,47
48,16,0,110
28,8,0,38
17,4,0,31
27,8,0,38
16,4,0,33
10,2,100,16
33,5,0,22
16,4,0,31
30,8,0,38
106,17,0,110
48,16,0,110
98,16,0,110
39,9,0,43
11,2,0,15
28,8,0,37
16,4,0,33
22,6,0,36
14,3,-100,17
33,5,0,21
21,6,0,34
37,9,0,44
88,16,0,110
18,4,0,33
33,5,0,20
28,8,0,37
29,8,0,37
12,3,-100,17
37,9,0,47
48,16,0,110
39,9,0,48
35,7,0,28
102,17,0,110
100,17,0,110
10,2,0,15
33,5,0,22
78,16,0,110
19,6,0,34
37,9,0,40
38,9,0,40
27,8,0,39
98,16,0,110
39,9,0,46
58,16,0,110
35,7,0,30
45,14,0,57
81,14,0,94
34,7,0,29
40,10,0,58
12,3,0,18
65,13,0,75
36,7,0,30
91,15,0,102
27,8,0,38
20,6,0,36
36,7,0,27
39,9,0,45
100,17,0,110
68,16,0,110
14,3,0,15
22,6,0,36
34,7,0,28
39,9,0,41
16,4,0,31
29,8,0,38
23,6,0,36
33,5,0,23
65,12,0,73
19,6,0,35
58,16,0,110
104,17,0,110
22,6,0,36
64,14,0,72
31,5,0,19
102,17,0,110
31,5,0,23
50,13,0,66
13,2,-100,17
88,16,0,110
17,4,0,31
11,2,0,15
17,4,0,31
98,16,0,110
28,8,0,37
23,6,0,34
83,14,0,95
13,2,0,18
56,11,0,60
84,14,0,92
108,16,0,110
0,1,0,10
13,2,100,16
50,13,0,63
23,6,0,34
13,2,-100,17
0,1,0,14
85,14,0,94
98,16,0,110
20,6,0,36
17,4,0,31
58,16,0,110
31,5,0,19
33,5,0,22
29,8,0,38
23,6,0,36
98,16,0,110
21,6,0,35
68,16,0,110
18,4,0,33
16,4,0,33
48,16,0,110
15,4,0,31
29,8,0,37
17,4,0,31
33,5,0,21
14,3,0,18
16,4,0,33
19,6,0,34
98,16,0,110
28,8,0,39
31,5,0,21
105,17,0,110
98,16,0,110
38,9,0,43
18,4,0,33
30,8,0,37
35,7,0,27
30,8,0,37
31,5,0,21
28,8,0,37
28,8,0,38
73,13,0,88
35,7,0,29
58,16,0,110
68,16,0,110
29,8,0,38
96,15,0,101
108,16,0,110
63,14,0,78
78,16,0,110
10,2,0,15
44,14,0,53
30,8,0,39
29,8,0,37
48,16,0,110
21,6,0,36
104,17,0,110
0,1,0,11
16,4,0,33
29,8,0,37
29,8,0,37
34,7,0,27
48,16,0,110
28,8,0,37
39,9,0,41
31,5,0,23
20,6,0,36
28,8,0,38
108,16,0,110
10,2,0,15
10,2,-100,17
88,16,0,110
30,8,0,38
38,9,0,40
50,14,0,67
38,9,0,42
98,16,0,110
54,11,0,68
31,5,0,21
35,7,0,30
12,3,0,18
35,7,0,29
71,14,0,83
45,12,0,57
19,6,0,35
30,8,0,38
13,2,0,18
17,4,0,31
72,14,0,84
34,7,0,27
105,17,0,110
15,4,0,33
56,14,0,67
19,6,0,35
10,2,0,18
58,16,0,110
19,6,0,35
61,13,0,75
10,2,0,18
17,4,0,31
30,8,0,37
39,9,0,45
36,7,0,27
33,5,0,21
10,2,0,15
35,7,0,27
46,14,0,52
0,1,0,12
29,8,0,37
19,6,0,35
108,16,0,110
58,16,0,110
68,16,0,110
81,14,0,90
19,6,0,35
48,16,0,110
23,6,0,34
27,8,0,37
50,11,0,61
86,14,0,92
23,6,0,35
19,6,0,34
14,3,0,15
40,14,0,50
68,16,0,110
0,1,0,10
19,6,0,35
31,5,0,21
11,2,0,18
10,2,0,15
90,15,0,106
78,16,0,110
39,9,0,46
66,13,0,76
80,14,0,94
39,9,0,40
78,16,0,110
31,5,0,23
44,14,0,52
12,3,0,18
11,2,-100,17
20,6,0,35
16,4,0,33
37,9,0,43
20,6,0,34
18,4,0,33
80,14,0,97
34,7,0,28
16,4,0,33
14,3,0,18
22,6,0,36
83,14,0,98
29,8,0,38
33,5,0,19
14,3,-100,17
17,4,0,31
33,5,0,22
78,16,0,110
22,6,0,36
35,7,0,29
39,9,0,47
58,16,0,110
10,2,-100,17
10,2,0,18
23,6,0,35
38,9,0,40
37,9,0,46
39,9,0,42
15,4,0,31
36,7,0,27
68,16,0,110
38,9,0,41
58,16,0,110
94,15,0,101
29,8,0,38
22,6,0,35
18,4,0,33
91,15,0,101
68,16,0,110
78,16,0,110
34,7,0,28
0,1,0,12
30,8,0,39
38,9,0,44
13,2,-100,17
39,9,0,46
98,16,0,110
14,3,0,15
22,6,0,36
21,6,0,34
12,3,0,18
60,13,0,77
39,9,0,41
17,4,0,31
14,3,100,16
68,16,0,110
98,16,0,110
73,13,0,88
15,4,0,31
73,13,0,81
22,6,0,36
29,8,0,37
33,5,0,23
58,16,0,110
48,16,0,110
12,3,0,18
58,16,0,110
35,7,0,30
33,5,0,19
11,2,0,15
68,16,0,110
23,6,0,35
17,4,0,31
91,15,0,100
16,4,0,31
58,16,0,110
36,7,0,30
10,2,0,15
29,8,0,38
34,7,0,29
66,14,0,75
12,3,100,16
33,5,0,22
98,16,0,110
22,6,0,35
18,4,0,33
108,16,0,110
22,6,0,36
39,9,0,40
17,4,0,31
68,16,0,110
40,11,0,58
38,9,0,46
29,8,0,38
17,4,0,31
30,8,0,39
29,8,0,38
16,4,0,33
21,6,0,34
60,12,0,78
27,8,0,38
0,1,0,11
21,6,0,34
108,16,0,110
36,7,0,27
19,6,0,34
75,13,0,81
39,9,0,48
22,6,0,35
48,16,0,110
38,9,0,40
48,16,0,110
39,9,0,47
28,8,0,37
18,4,0,33
35,7,0,29
21,6,0,35
66,14,0,76
98,16,0,110
23,6,0,36
15,4,0,31
30,8,0,37
30,8,0,38
88,16,0,110
22,6,0,36
12,3,100,16
29,8,0,38
68,16,0,110
55,14,0,68
23,6,0,36
30,8,0,38
22,6,0,36
96,15,0,106
38,9,0,46
20,6,0,34
31,5,0,23
15,4,0,31
19,6,0,35
68,16,0,110
58,16,0,110
78,16,0,110
27,8,0,38
37,9,0,47
35,7,0,27
108,16,0,110
35,7,0,28
58,16,0,110
14,3,0,18
34,7,0,29
28,8,0,39
18,4,0,31
29,8,0,37
78,16,0,110
88,16,0,110
17,4,0,31
38,9,0,40
88,16,0,110
106,17,0,110
17,4,0,31
21,6,0,36
15,4,0,31
28,8,0,37
58,16,0,110
19,6,0,36
20,6,0,35
15,4,0,31
20,6,0,34
12,3,0,18
34,7,0,28
39,9,0,47
74,13,0,87
16,4,0,33
27,8,0,38
20,6,0,34
108,16,0,110
31,5,0,21
68,16,0,110
58,16,0,110
21,6,0,36
28,8,0,39
13,2,-100,17
78,16,0,110
12,3,0,18
17,4,0,33
38,9,0,40
33,5,0,22
29,8,0,38
16,4,0,33
76,14,0,86
103,17,0,110
39,9,0,40
38,9,0,40
68,16,0,110
29,8,0,37
93,15,0,102
70,13,0,80
38,9,0,41
31,5,0,21
19,6,0,34
0,1,0,10
55,11,0,66
58,16,0,110
29,8,0,37
31,5,0,23
10,2,0,15
39,9,0,40
33,5,0,22
94,15,0,100
33,5,0,23
100,17,0,110
15,4,0,31
12,3,100,16
108,16,0,110
103,17,0,110
27,8,0,39
0,1,0,10
45,12,0,56
45,13,0,56
22,6,0,36
37,9,0,47
90,15,0,105
42,14,0,55
15,4,0,33
33,5,0,20
28,8,0,39
29,8,0,37
72,14,0,82
19,6,0,34
68,16,0,110
11,2,0,18
20,6,0,36
95,15,0,108
37,9,0,40
58,16,0,110
20,6,0,36
14,3,100,16
58,16,0,110
73,14,0,81
17,4,0,31
11,2,0,15
35,7,0,30
37,9,0,46
27,8,0,38
17,4,0,31
19,6,0,35
22,6,0,34
10,2,0,15
35,7,0,29
98,16,0,110
15,4,0,31
42,12,0,52
29,8,0,37
34,7,0,29
102,17,0,110
60,12,0,73
12,3,0,18
13,2,-100,17
108,16,0,110
78,16,0,110
76,13,0,80
19,6,0,34
36,7,0,27
14,3,100,16
78,16,0,110
63,14,0,73
105,17,0,110
39,9,0,41
22,6,0,36
16,4,0,31
18,4,0,31
11,2,0,18
63,12,0,74
68,16,0,110
38,9,0,47
29,8,0,37
33,5,0,21
50,13,0,62
21,6,0,36
102,17,0,110
31,5,0,23
34,7,0,27
19,6,0,34
15,4,0,33
29,8,0,37
68,16,0,110
15,4,0,33
96,15,0,104
12,3,0,18
27,8,0,38
88,16,0,110
88,16,0,110
11,2,0,18
78,16,0,110
27,8,0,37
39,9,0,47
15,4,0,31
21,6,0,34
11,2,0,18
48,16,0,110
66,13,0,74
15,4,0,31
34,7,0,28
101,17,0,110
36,7,0,27
35,7,0,27
96,15,0,101
33,5,0,23
27,8,0,37
75,14,0,85
39,9,0,48
17,4,0,31
104,17,0,110
88,16,0,110
50,12,0,67
37,9,0,44
16,4,0,31
15,4,0,31
38,9,0,46
35,7,0,29
60,13,0,77
38,9,0,40
29,8,0,37
48,16,0,110
14,3,0,15
12,3,0,18
106,17,0,110
39,9,0,46
17,4,0,31
78,16,0,110
16,4,0,33
94,15,0,107
30,8,0,38
13,2,0,18
98,16,0,110
23,6,0,36
16,4,0,31
88,16,0,110
30,8,0,39
50,12,0,63
0,1,0,10
31,5,0,23
35,7,0,30
14,3,100,16
15,4,0,31
34,7,0,27
17,4,0,31
66,14,0,74
44,11,0,54
27,8,0,39
