s,a,r,sp
19,6,0,36
68,16,0,110
10,2,0,18
21,6,0,36
29,8,0,39
40,10,0,54
78,16,0,110
98,16,0,110
78,16,0,110
15,4,0,31
15,4,0,31
75,14,0,84
90,15,0,102
20,6,0,35
20,6,0,36
16,4,0,31
88,16,0,110
96,15,0,100
30,8,0,39
85,14,0,94
66,12,0,73
11,2,0,15
16,4,0,31
98,16,0,110
0,1,0,11
22,6,0,36
12,3,-100,17
13,2,100,16
31,5,0,19
58,16,0,110
21,6,0,36
37,9,0,41
12,3,100,16
27,8,0,39
20,6,0,35
33,5,0,23
11,2,0,18
35,7,0,29
93,15,0,101
68,16,0,110
78,16,0,110
88,16,0,110
21,6,0,36
28,8,0,38
50,12,0,65
105,17,0,110
68,16,0,110
15,4,0,31
15,4,0,31
34,7,0,30
21,6,0,34
36,7,0,29
19,6,0,36
29,8,0,39
17,4,0,31
70,14,0,83
88,16,0,110
29,8,0,38
68,16,0,110
82,14,0,94
39,9,0,40
11,2,0,15
75,13,0,88
33,5,0,22
19,6,0,36
34,7,0,29
30,8,0,37
14,3,100,16
34,7,0,27
36,7,0,27
30,8,0,39
11,2,0,18
37,9,0,42
20,6,0,34
86,14,0,90
78,16,0,110
27,8,0,38
22,6,0,36
36,7,0,27
88,16,0,110
30,8,0,37
14,3,100,16
23,6,0,35
39,9,0,41
21,6,0,34
98,16,0,110
98,16,0,110
12,3,100,16
34,7,0,28
37,9,0,46
84,14,0,92
51,14,0,67
28,8,0,37
34,7,0,27
0,1,0,11
108,16,0,110
88,16,0,110
33,5,0,19
28,8,0,37
21,6,0,34
39,9,0,43
0,1,0,13
108,16,0,110
48,16,0,110
17,4,0,31
65,13,0,73
27,8,0,39
18,4,0,31
34,7,0,27
18,4,0,33
10,2,-100,17
108,16,0,110
29,8,0,39
27,8,0,39
36,7,0,27
30,8,0,39
0,1,0,12
98,16,0,110
65,13,0,77
22,6,0,35
85,14,0,94
48,16,0,110
20,6,0,35
88,16,0,110
72,14,0,87
38,9,0,43
51,14,0,63
30,8,0,37
23,6,0,35
21,6,0,34
17,4,0,33
29,8,0,39
39,9,0,48
38,9,0,45
17,4,0,31
11,2,0,18
27,8,0,39
68,16,0,110
12,3,0,15
14,3,0,15
68,16,0,110
12,3,0,15
22,6,0,36
29,8,0,38
29,8,0,38
14,3,100,16
35,7,0,28
90,15,0,103
75,13,0,84
31,5,0,19
36,7,0,28
48,16,0,110
35,7,0,27
27,8,0,37
13,2,0,18
11,2,0,15
108,16,0,110
13,2,-100,17
13,2,0,15
36,7,0,27
86,14,0,97
15,4,0,33
19,6,0,35
15,4,0,33
36,7,0,30
22,6,0,36
13,2,0,18
36,7,0,30
48,16,0,110
15,4,0,33
33,5,0,22
88,16,0,110
21,6,0,34
10,2,0,15
17,4,0,33
88,16,0,110
98,16,0,110
90,15,0,107
11,2,-100,17
19,6,0,35
15,4,0,31
23,6,0,35
58,16,0,110
39,9,0,48
76,13,0,80
36,7,0,27
0,1,0,12
16,4,0,31
34,7,0,27
10,2,100,16
23,6,0,36
96,15,0,106
88,16,0,110
33,5,0,20
68,16,0,110
78,16,0,110
68,16,0,110
18,4,0,33
16,4,0,31
104,17,0,110
15,4,0,31
20,6,0,35
30,8,0,39
35,7,0,28
76,14,0,88
48,16,0,110
11,2,0,15
0,1,0,10
91,15,0,106
15,4,0,33
98,16,0,110
38,9,0,48
13,2,-100,17
95,15,0,108
68,16,0,110
85,14,0,94
82,14,0,97
35,7,0,27
21,6,0,35
0,1,0,11
12,3,100,16
10,2,0,15
33,5,0,19
31,5,0,22
11,2,0,15
21,6,0,35
86,14,0,91
108,16,0,110
21,6,0,36
68,16,0,110
11,2,0,18
31,5,0,22
22,6,0,36
11,2,0,15
98,16,0,110
34,7,0,27
22,6,0,34
27,8,0,39
108,16,0,110
31,5,0,22
22,6,0,35
18,4,0,31
21,6,0,34
35,7,0,30
108,16,0,110
12,3,-100,17
30,8,0,38
13,2,-100,17
38,9,0,43
78,16,0,110
0,1,0,11
88,16,0,110
20,6,0,36
12,3,100,16
13,2,0,18
102,17,0,110
51,12,0,63
27,8,0,38
28,8,0,37
78,16,0,110
21,6,0,35
88,16,0,110
19,6,0,36
19,6,0,34
10,2,-100,17
36,7,0,30
63,13,0,72
34,7,0,29
58,16,0,110
42,13,0,52
68,16,0,110
11,2,-100,17
81,14,0,91
38,9,0,40
14,3,0,15
14,3,100,16
94,15,0,107
15,4,0,33
30,8,0,39
23,6,0,35
11,2,0,18
90,15,0,100
58,16,0,110
108,16,0,110
14,3,0,18
0,1,0,14
30,8,0,38
38,9,0,46
58,16,0,110
96,15,0,100
10,2,100,16
80,14,0,91
30,8,0,39
38,9,0,47
34,7,0,27
30,8,0,39
19,6,0,34
28,8,0,37
29,8,0,39
34,7,0,28
0,1,0,12
28,8,0,37
42,12,0,51
34,7,0,27
35,7,0,29
15,4,0,31
15,4,0,31
64,13,0,75
33,5,0,19
20,6,0,34
36,7,0,30
98,16,0,110
11,2,0,18
28,8,0,38
22,6,0,34
33,5,0,20
20,6,0,35
68,16,0,110
39,9,0,46
14,3,0,18
22,6,0,34
85,14,0,96
19,6,0,34
42,10,0,56
88,16,0,110
38,9,0,42
68,16,0,110
20,6,0,35
42,10,0,54
44,13,0,53
30,8,0,39
88,16,0,110
13,2,0,18
68,16,0,110
88,16,0,110
12,3,-100,17
23,6,0,35
39,9,0,43
93,15,0,106
52,11,0,62
92,15,0,107
14,3,0,18
30,8,0,39
62,12,0,78
18,4,0,33
70,14,0,87
56,13,0,66
78,16,0,110
14,3,0,18
108,16,0,110
11,2,-100,17
15,4,0,33
20,6,0,36
103,17,0,110
34,7,0,27
28,8,0,37
70,14,0,82
31,5,0,19
68,16,0,110
36,7,0,30
36,7,0,29
43,10,0,58
28,8,0,37
35,7,0,30
58,16,0,110
15,4,0,33
39,9,0,43
35,7,0,30
16,4,0,31
38,9,0,40
19,6,0,35
37,9,0,47
12,3,100,16
20,6,0,36
68,16,0,110
34,7,0,27
31,5,0,19
75,13,0,86
20,6,0,35
29,8,0,39
38,9,0,48
14,3,100,16
78,16,0,110
13,2,-100,17
23,6,0,35
53,14,0,62
12,3,-100,17
18,4,0,31
17,4,0,33
53,13,0,66
16,4,0,31
38,9,0,43
21,6,0,34
10,2,100,16
10,2,0,18
16,4,0,31
15,4,0,31
102,17,0,110
16,4,0,31
51,14,0,67
14,3,0,18
98,16,0,110
0,1,0,14
34,7,0,28
88,16,0,110
62,12,0,76
15,4,0,31
88,16,0,110
17,4,0,31
48,16,0,110
81,14,0,97
108,16,0,110
37,9,0,40
21,6,0,35
93,15,0,101
58,16,0,110
39,9,0,43
108,16,0,110
39,9,0,47
86,14,0,93
39,9,0,41
48,16,0,110
39,9,0,48
39,9,0,41
33,5,0,19
15,4,0,33
62,12,0,71
20,6,0,36
96,15,0,100
39,9,0,45
100,17,0,110
78,16,0,110
28,8,0,38
22,6,0,36
88,16,0,110
29,8,0,39
52,14,0,61
18,4,0,33
16,4,0,31
12,3,0,15
14,3,-100,17
17,4,0,31
15,4,0,31
38,9,0,43
35,7,0,28
90,15,0,106
31,5,0,22
18,4,0,31
23,6,0,36
43,13,0,51
27,8,0,39
34,7,0,28
58,16,0,110
29,8,0,39
38,9,0,43
98,16,0,110
10,2,0,18
41,12,0,50
108,16,0,110
17,4,0,33
20,6,0,35
68,16,0,110
61,12,0,75
108,16,0,110
14,3,100,16
86,14,0,93
108,16,0,110
60,14,0,72
91,15,0,102
88,16,0,110
11,2,0,18
39,9,0,40
37,9,0,43
18,4,0,33
48,16,0,110
10,2,-100,17
33,5,0,19
0,1,0,13
88,16,0,110
36,7,0,27
31,5,0,22
14,3,100,16
10,2,0,18
19,6,0,34
12,3,-100,17
95,15,0,108
48,16,0,110
73,14,0,84
40,14,0,50
104,17,0,110
16,4,0,31
58,16,0,110
39,9,0,45
34,7,0,27
88,16,0,110
98,16,0,110
80,14,0,97
45,13,0,53
66,13,0,72
20,6,0,36
82,14,0,95
22,6,0,34
102,17,0,110
17,4,0,33
28,8,0,37
29,8,0,37
30,8,0,39
37,9,0,41
78,16,0,110
27,8,0,38
31,5,0,22
0,1,0,13
78,16,0,110
17,4,0,31
78,16,0,110
13,2,100,16
38,9,0,43
29,8,0,38
60,13,0,75
20,6,0,35
19,6,0,34
27,8,0,38
12,3,-100,17
104,17,0,110
29,8,0,39
37,9,0,43
0,1,0,12
20,6,0,34
58,16,0,110
13,2,0,18
23,6,0,35
11,2,100,16
58,16,0,110
108,16,0,110
65,13,0,71
33,5,0,19
14,3,100,16
22,6,0,34
29,8,0,39
98,16,0,110
39,9,0,48
35,7,0,28
29,8,0,37
88,16,0,110
55,14,0,66
33,5,0,20
23,6,0,35
34,7,0,28
20,6,0,36
72,14,0,81
37,9,0,47
10,2,100,16
22,6,0,36
28,8,0,38
10,2,0,18
15,4,0,33
0,1,0,14
21,6,0,35
58,16,0,110
36,7,0,30
35,7,0,28
27,8,0,39
37,9,0,47
72,13,0,85
29,8,0,38
68,16,0,110
13,2,100,16
60,13,0,70
58,16,0,110
37,9,0,43
37,9,0,46
68,16,0,110
66,13,0,70
0,1,0,11
83,14,0,91
35,7,0,30
30,8,0,39
58,16,0,110
75,13,0,80
95,15,0,107
39,9,0,41
98,16,0,110
27,8,0,39
98,16,0,110
108,16,0,110
35,7,0,27
34,7,0,29
15,4,0,31
17,4,0,33
45,13,0,52
68,16,0,110
33,5,0,19
58,16,0,110
18,4,0,31
40,11,0,56
17,4,0,33
61,14,0,77
78,16,0,110
35,7,0,28
23,6,0,35
18,4,0,31
22,6,0,36
0,1,0,13
90,15,0,108
14,3,0,15
78,16,0,110
30,8,0,39
21,6,0,35
48,16,0,110
95,15,0,108
20,6,0,35
18,4,0,33
46,14,0,50
29,8,0,39
61,13,0,78
82,14,0,91
15,4,0,33
17,4,0,33
36,7,0,30
23,6,0,36
36,7,0,27
12,3,0,15
58,16,0,110
20,6,0,35
40,14,0,53
28,8,0,37
50,12,0,63
21,6,0,35
61,13,0,75
75,14,0,84
92,15,0,107
27,8,0,37
96,15,0,100
37,9,0,42
35,7,0,30
78,16,0,110
38,9,0,40
20,6,0,34
39,9,0,41
16,4,0,31
39,9,0,45
48,16,0,110
27,8,0,39
93,15,0,108
88,16,0,110
35,7,0,28
28,8,0,37
60,13,0,77
58,16,0,110
10,2,0,18
83,14,0,91
35,7,0,29
16,4,0,31
19,6,0,34
98,16,0,110
30,8,0,39
30,8,0,39
44,14,0,58
68,16,0,110
58,16,0,110
36,7,0,28
0,1,0,11
14,3,100,16
12,3,-100,17
16,4,0,31
23,6,0,35
28,8,0,37
16,4,0,31
29,8,0,37
38,9,0,45
37,9,0,42
35,7,0,28
33,5,0,19
38,9,0,41
14,3,0,15
33,5,0,19
81,14,0,93
31,5,0,21
16,4,0,31
18,4,0,33
98,16,0,110
29,8,0,39
20,6,0,34
88,16,0,110
30,8,0,39
14,3,0,15
37,9,0,45
29,8,0,37
35,7,0,29
12,3,100,16
20,6,0,35
27,8,0,39
17,4,0,33
12,3,-100,17
28,8,0,38
46,14,0,54
48,16,0,110
11,2,0,15
20,6,0,36
55,14,0,61
78,16,0,110
17,4,0,31
98,16,0,110
38,9,0,46
34,7,0,30
58,16,0,110
34,7,0,28
22,6,0,35
27,8,0,37
88,16,0,110
104,17,0,110
78,16,0,110
39,9,0,45
0,1,0,14
35,7,0,29
16,4,0,31
23,6,0,35
72,13,0,80
15,4,0,31
78,16,0,110
34,7,0,30
30,8,0,39
23,6,0,35
61,14,0,76
43,10,0,56
28,8,0,37
16,4,0,31
68,16,0,110
108,16,0,110
13,2,100,16
14,3,0,15
20,6,0,36
23,6,0,35
36,7,0,28
98,16,0,110
48,16,0,110
92,15,0,108
19,6,0,34
38,9,0,42
53,14,0,62
46,14,0,52
41,13,0,53
13,2,100,16
81,14,0,94
30,8,0,38
58,16,0,110
48,16,0,110
16,4,0,31
31,5,0,21
33,5,0,19
28,8,0,39
36,7,0,28
34,7,0,30
0,1,0,14
20,6,0,36
91,15,0,106
88,16,0,110
10,2,-100,17
0,1,0,12
17,4,0,33
35,7,0,28
22,6,0,36
88,16,0,110
31,5,0,19
88,16,0,110
23,6,0,35
68,16,0,110
37,9,0,47
21,6,0,36
39,9,0,48
19,6,0,36
36,7,0,28
88,16,0,110
16,4,0,31
37,9,0,47
34,7,0,28
14,3,0,15
22,6,0,36
15,4,0,31
22,6,0,36
0,1,0,14
48,16,0,110
14,3,0,15
78,16,0,110
101,17,0,110
64,14,0,75
94,15,0,105
22,6,0,36
98,16,0,110
19,6,0,35
64,13,0,76
11,2,0,18
35,7,0,29
11,2,0,15
108,16,0,110
13,2,0,15
63,12,0,77
98,16,0,110
30,8,0,39
22,6,0,35
14,3,0,15
37,9,0,48
14,3,0,18
17,4,0,31
0,1,0,12
106,17,0,110
19,6,0,36
96,15,0,107
18,4,0,33
33,5,0,20
39,9,0,42
43,14,0,57
33,5,0,21
58,16,0,110
38,9,0,43
98,16,0,110
15,4,0,33
68,16,0,110
76,13,0,83
78,16,0,110
39,9,0,48
38,9,0,42
38,9,0,42
71,13,0,86
48,16,0,110
29,8,0,37
21,6,0,35
27,8,0,39
21,6,0,34
17,4,0,31
29,8,0,39
28,8,0,37
16,4,0,31
29,8,0,38
71,13,0,85
38,9,0,42
48,16,0,110
104,17,0,110
98,16,0,110
10,2,-100,17
19,6,0,36
10,2,0,15
58,16,0,110
53,13,0,68
83,14,0,91
15,4,0,33
13,2,-100,17
19,6,0,34
72,13,0,85
30,8,0,39
31,5,0,22
78,16,0,110
68,16,0,110
30,8,0,39
34,7,0,28
11,2,-100,17
48,16,0,110
39,9,0,43
18,4,0,31
23,6,0,35
22,6,0,35
37,9,0,47
68,16,0,110
70,14,0,82
18,4,0,31
104,17,0,110
11,2,100,16
31,5,0,22
37,9,0,40
108,16,0,110
13,2,0,18
34,7,0,27
48,16,0,110
68,16,0,110
29,8,0,39
78,16,0,110
16,4,0,31
16,4,0,31
10,2,0,15
80,14,0,91
66,13,0,74
23,6,0,35
95,15,0,107
98,16,0,110
98,16,0,110
15,4,0,33
41,14,0,51
13,2,0,15
17,4,0,33
36,7,0,30
30,8,0,39
37,9,0,42
17,4,0,33
41,12,0,58
16,4,0,31
13,2,0,18
14,3,100,16
35,7,0,27
73,13,0,82
18,4,0,33
12,3,-100,17
0,1,0,14
68,16,0,110
37,9,0,44
20,6,0,35
78,16,0,110
12,3,0,15
33,5,0,22
56,11,0,67
38,9,0,43
98,16,0,110
0,1,0,12
23,6,0,35
10,2,100,16
31,5,0,21
11,2,0,15
48,16,0,110
76,14,0,80
28,8,0,37
30,8,0,38
12,3,-100,17
30,8,0,39
56,11,0,61
22,6,0,35
30,8,0,37
37,9,0,42
58,16,0,110
0,1,0,14
73,13,0,82
22,6,0,34
108,16,0,110
16,4,0,31
14,3,0,15
58,16,0,110
88,16,0,110
58,16,0,110
0,1,0,14
31,5,0,19
0,1,0,11
86,14,0,98
34,7,0,27
58,16,0,110
31,5,0,19
58,16,0,110
27,8,0,39
12,3,100,16
75,14,0,80
106,17,0,110
37,9,0,47
28,8,0,37
31,5,0,22
80,14,0,95
103,17,0,110
41,13,0,52
11,2,0,18
28,8,0,37
0,1,0,12
37,9,0,42
28,8,0,37
58,16,0,110
88,16,0,110
86,14,0,93
21,6,0,35
78,16,0,110
16,4,0,31
92,15,0,107
102,17,0,110
16,4,0,31
58,16,0,110
55,11,0,63
0,1,0,14
68,16,0,110
48,16,0,110
15,4,0,33
19,6,0,36
20,6,0,36
37,9,0,47
30,8,0,39
78,16,0,110
22,6,0,34
58,16,0,110
11,2,0,15
21,6,0,35
29,8,0,37
23,6,0,35
93,15,0,104
108,16,0,110
37,9,0,48
36,7,0,27
30,8,0,39
16,4,0,31
98,16,0,110
19,6,0,36
78,16,0,110
11,2,0,18
33,5,0,23
83,14,0,94
78,16,0,110
30,8,0,39
17,4,0,33
19,6,0,34
20,6,0,34
29,8,0,39
13,2,0,18
15,4,0,33
30,8,0,38
11,2,-100,17
27,8,0,39
37,9,0,40
37,9,0,47
38,9,0,46
37,9,0,47
108,16,0,110
19,6,0,34
22,6,0,34
19,6,0,36
34,7,0,30
34,7,0,27
98,16,0,110
0,1,0,14
37,9,0,47
18,4,0,33
10,2,0,18
16,4,0,31
39,9,0,47
105,17,0,110
13,2,0,18
16,4,0,31
22,6,0,36
31,5,0,23
28,8,0,37
95,15,0,101
88,16,0,110
78,16,0,110
55,14,0,66
10,2,100,16
21,6,0,35
66,14,0,77
38,9,0,42
39,9,0,41
0,1,0,14
18,4,0,33
27,8,0,37
10,2,100,16
108,16,0,110
106,17,0,110
88,16,0,110
29,8,0,39
42,10,0,56
10,2,0,15
30,8,0,37
29,8,0,38
108,16,0,110
17,4,0,33
98,16,0,110
78,16,0,110
78,16,0,110
48,16,0,110
39,9,0,42
23,6,0,36
11,2,0,18
11,2,0,15
14,3,100,16
101,17,0,110
34,7,0,28
23,6,0,34
58,16,0,110
15,4,0,31
38,9,0,48
22,6,0,35
13,2,0,18
38,9,0,42
17,4,0,31
93,15,0,101
53,12,0,68
17,4,0,31
42,13,0,54
108,16,0,110
16,4,0,31
11,2,100,16
78,16,0,110
68,16,0,110
58,16,0,110
21,6,0,35
19,6,0,36
23,6,0,35
17,4,0,31
38,9,0,42
15,4,0,31
37,9,0,42
88,16,0,110
45,12,0,55
22,6,0,35
19,6,0,35
88,16,0,110
81,14,0,91
0,1,0,11
88,16,0,110
15,4,0,31
18,4,0,31
78,16,0,110
14,3,100,16
17,4,0,33
17,4,0,33
21,6,0,35
43,10,0,55
23,6,0,35
14,3,-100,17
39,9,0,46
88,16,0,110
98,16,0,110
91,15,0,104
13,2,-100,17
38,9,0,46
38,9,0,40
46,13,0,50
33,5,0,23
53,11,0,68
108,16,0,110
22,6,0,36
33,5,0,22
28,8,0,37
11,2,-100,17
76,13,0,83
46,13,0,58
98,16,0,110
0,1,0,11
60,12,0,75
10,2,0,18
20,6,0,34
58,16,0,110
37,9,0,45
98,16,0,110
20,6,0,36
28,8,0,37
68,16,0,110
68,16,0,110
78,16,0,110
42,11,0,55
11,2,100,16
106,17,0,110
52,11,0,65
33,5,0,19
20,6,0,35
18,4,0,31
38,9,0,44
10,2,100,16
19,6,0,35
41,14,0,53
34,7,0,30
98,16,0,110
28,8,0,39
108,16,0,110
20,6,0,35
18,4,0,33
98,16,0,110
33,5,0,21
28,8,0,37
23,6,0,35
11,2,0,15
66,13,0,78
0,1,0,14
92,15,0,107
27,8,0,37
19,6,0,34
0,1,0,14
19,6,0,35
37,9,0,48
22,6,0,36
17,4,0,31
88,16,0,110
35,7,0,28
90,15,0,107
17,4,0,33
27,8,0,39
108,16,0,110
85,14,0,96
30,8,0,39
30,8,0,39
18,4,0,31
30,8,0,39
50,13,0,63
22,6,0,35
18,4,0,33
11,2,100,16
35,7,0,28
15,4,0,33
36,7,0,29
27,8,0,39
66,12,0,73
21,6,0,35
48,16,0,110
0,1,0,12
60,14,0,77
19,6,0,35
11,2,0,18
18,4,0,31
19,6,0,34
29,8,0,39
63,14,0,72
0,1,0,14
78,16,0,110
28,8,0,37
76,14,0,82
21,6,0,34
37,9,0,41
83,14,0,93
13,2,-100,17
108,16,0,110
100,17,0,110
31,5,0,22
23,6,0,35
68,16,0,110
27,8,0,38
14,3,100,16
18,4,0,33
98,16,0,110
21,6,0,35
22,6,0,35
21,6,0,35
108,16,0,110
58,16,0,110
38,9,0,41
68,16,0,110
78,16,0,110
37,9,0,47
29,8,0,38
11,2,0,18
101,17,0,110
65,12,0,75
0,1,0,11
78,16,0,110
17,4,0,33
90,15,0,104
35,7,0,29
108,16,0,110
39,9,0,45
58,16,0,110
22,6,0,36
0,1,0,11
22,6,0,34
88,16,0,110
37,9,0,45
12,3,100,16
19,6,0,34
37,9,0,43
18,4,0,33
101,17,0,110
0,1,0,14
36,7,0,28
31,5,0,23
33,5,0,21
22,6,0,35
30,8,0,39
52,14,0,61
64,14,0,71
41,11,0,52
36,7,0,30
21,6,0,36
37,9,0,46
88,16,0,110
108,16,0,110
20,6,0,34
86,14,0,90
31,5,0,19
39,9,0,42
27,8,0,39
